"","place","africa_id","asia_id","europe_id","is_place"
"82","Italy","","7963880","4005361; 7023981; 1000080; 7594282; 4005362; 4005363; 4005364; 4005365",1
"83","Constantine Augustus","","","",0
"84","East","1095324; 7594090; 1092851; 1092871; 7524354; 8711612; 7032932; 7032104; 1093035; 7523459; 1001245; 8711645; 1003752; 7001675; 6002798; 7593206; 1000169; 7023848; 1093322; 7524942; 1005030; 1001421; 1093387; 1000180; 1000911; 1101499; 1093640; 1000932; 7524531; 1101916; 7018307","1083334; 7879624; 1114070; 7001819; 7549250; 8212960; 1006379; 7585193; 1000105; 8202974; 1006562; 7952766; 7953397; 1114111; 7018638; 7908144; 7493591; 8203532; 1009527; 8199110; 1001223; 8711651; 7031110; 7002108; 7549249; 1110910; 1006999; 1007000; 7549248; 7549247; 7470732; 7549246; 7549245; 1001222; 7959011; 7549240; 7549239; 7592285; 6001831; 7549238; 8025249; 7549237; 8025247; 1114121; 7549236; 8018957; 8021921; 7569540; 7549235; 7549234; 1107235; 7958487; 8005151; 7549233; 8017633; 7962142; 1110813; 7549232; 8025237; 7928559; 7933456; 7590893; 7875048; 7978943; 7573947; 1135919; 7018456; 7908111; 8664754; 7585465; 8211010; 8211011; 7573364; 7570737; 7585466; 7990362; 1001323; 8025258; 1075653; 1001339; 7570882; 7927496; 7992409; 7577028; 7912463; 7948009; 7928804; 8029069; 7000316; 7935924; 7552449; 7968696; 7926201; 1105555; 7933599; 7927740; 1105795; 1001467; 7977357; 7558542; 7557824; 7558342; 7558615; 8006816; 8619652; 7971083; 8036406; 6001973; 7002190; 8199372; 7490412; 7012943; 7582065; 8685275; 7579913; 7875046; 8210462; 7968690; 7003703; 6006001; 8675693; 7579402; 8680406; 1073014; 7502518","7896123; 7890920; 7466630; 7897220; 7465958; 7030760; 7594015; 7138384; 7882909; 7889199; 7896884; 7897463; 7893689; 7892700; 7892699; 7019021; 7465260; 7889671; 7901414; 7900711; 7456526; 7880436; 7899300; 7025860; 7453518; 7890825; 7890240; 7899490; 7894655; 7892692; 7894413; 7894012; 7900770; 1042786; 7451605; 1123614; 7025542; 7012973; 7025369; 7029957; 7025373; 7025375; 7451599; 7019088; 7451598; 7451596; 7451597; 7451595; 7027743; 1029114; 1004386; 7451591; 7028269; 7028366; 1004387; 7029248; 7029437; 7450913; 7028298; 7444689; 7029299; 7025543; 7025544; 7025035; 7451582; 7451580; 1050640; 7451577; 7028367; 7030821; 7029909; 7451575; 7896833; 7025469; 7451574; 7451573; 1029115; 7025036; 1123618; 7029235; 7028839; 7030433; 7443591; 7451566; 7451565; 7450930; 7011469; 7026834; 7450928; 1029117; 7025545; 7031039; 7450924; 7450923; 7019099; 1029118; 7030822; 7895507; 7450901; 7450900; 7027862; 7003457; 7450899; 7450898; 7450897; 7003618; 7026415; 7026416; 7450894; 7450893; 7450892; 1029119; 7896159; 7450890; 7030823; 7026417; 7027846; 7029958; 1004390; 7026418; 1029120; 7450881; 1029121; 7450879; 7450878; 7450877; 7450876; 7450875; 7450874; 7450873; 7026419; 7028840; 1029122; 7450229; 7025882; 7026216; 1029123; 7443366; 7443363; 7444701; 7450224; 7025603; 1029124; 7027847; 7450221; 7029959; 1050641; 7027848; 7450219; 7029286; 7027561; 7450216; 1029125; 7028505; 7450208; 1050642; 1112940; 7450205; 1112941; 4003487; 7450203; 1029126; 7019115; 7027849; 4003488; 7029062; 7450198; 7450197; 1029127; 7450195; 1029128; 7030096; 5000824; 7026177; 7011768; 7450190; 7030121; 7450189; 7450188; 7027562; 7450175; 7450174; 7450000; 7896162; 1029130; 7449998; 7027318; 7896121; 7449997; 7449996; 7885454; 7449995; 7449994; 7025547; 4003491; 7028042; 4003492; 7019096; 7449989; 7019057; 7030476; 7442832; 7028577; 7028582; 7028369; 7449984; 7449982; 7441973; 7442311; 7449981; 7900527; 7028613; 7449980; 7449979; 7449978; 7449977; 7025883; 7031040; 7025968; 1123626; 7449973; 4003493; 5000745; 7008129; 7449969; 7442841; 7900526; 7449968; 1029132; 7449966; 7028175; 7885878; 7028370; 7026836; 7449963; 7449962; 7449961; 7028371; 7026837; 1050643; 1004393; 7449955; 7028372; 1029133; 7449952; 7449949; 7449948; 7026838; 7025810; 7449945; 7897297; 7336848; 7451740; 7451522; 7887043; 7445452; 7000080; 4004348; 7888757; 7897431; 7878015; 7898923; 7892663; 7892214; 7876840; 7894399; 5000448; 7901580; 7895850; 7012833; 7888756; 7894064; 7461385; 7896725; 7901892; 7902204; 7876861; 1030166; 7881079; 7268819; 7005014; 7442597; 7019055; 7443084; 7267553; 1114648; 7268189; 1048012; 1010197; 7884189; 7891729; 1042966; 7457549; 7889107; 7031139; 7890980; 7447138; 7891434; 7896447; 7448013; 7894560; 7894889; 7445695; 7888718; 7894891; 7883751; 1009591; 7442686; 7894258",1
"85","Constantine","7000350; 7001315","","7454622; 7443014",1
"86","Licinius","","","",0
"87","Alexander","1092812; 1119368","1121097","7893333; 7896794; 7060193; 7269141; 7269140",1
"88","Gaul","","7574039","1000070; 6002195; 7030317; 7030320; 4004256; 7180341; 7180340",1
"89","Miltiades","","","",0
"90","God","7521593; 1092707","8023738; 8023739; 8209909","7443320; 8711145; 7249228",1
"91","Meletios","","","7236520",1
